title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Leren van meerdere informatieve teksten: Een studie naar de oogbewegingen van lezers bij het activeren van eerder gelezen informatie,"Zee, Lisanne Louise van der","['Beker, K.', 'Koornneef, A.W.']",2016,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Het effect van taal- en/of rekenvaardigheden op prestatie en oplossingsstrategie bij rekenkundige contextopgaven,"Witte, Esther de","['Alberto, R.A.', 'Rooij, M.J. de', 'Stevenson, C.E.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The relation between cognitive flexibility and strategy use in dynamic testing,"Taşhan, Nine","['Verbeek, J.', 'Resing, W.C.M.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Reumatoïde artritis en de circadiaanse lichaamsklok,"Mulder, Lennard","['Veldhuijzen, D.S.', 'Laarhoven, A.I.M. van']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De Participant Roles en de Dark Tetrad,"Sahan, Nesrin","['Toprak, F.', 'Vedder, P.H.']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Inhibitie: een voorspeller voor internaliserende- en externaliserende problemen bij jonge kinderen?,"Ax, Melissa","['Platje, E.', 'Ziermans, T.B.']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Taakspecifieke motivatie voor implementatie van ICT-gebruik op basisscholen: Een onderzoek naar factoren die invloed hebben op de handelingsbereidheid tot leerkrachtondersteunend en leerlingondersteunend ICT-gebruik,"Westink, J.M.","['Glastra, F.J.', 'Brabander, C.J. de']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Het effect van leesmotivatie en boekpromotie op de leesintentie van studenten,"Hanenberg, Myrthe","['Dijk, H. van', 'Espin, C.A.']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
De gevoeligheid van kinderen voor een (imaginaire) eerlijkheidscontrole,"Kooij, Evelien van der","['Bilo, J.E.', 'Euser, S.', 'Ijzendoorn, M.H. van']",2016,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Oogbewegingen leiden naar de oplossing: Wordt een tweede serie geometrische analogieën even consistent opgelost als de eerste serie?,"Plas, Lianne van der","['Alberto, R.A.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Impliciet leren van structuren in visuele twee dimensionale stimuli: Artificiële grammatica sequentieel en ruimtelijk weergegeven,"Degryse, Ashley","['Poletiek, F.H.', 'Bocanegra, B.R.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Russische aardgas-energie en Europese afhankelijkheid: De deconstructie van een 'energiewapen',"Hattay, Yassine","['Oversloot, J.']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
“You are so aggressive!” A multifaceted model of aggression between typically and atypically developing adolescent boys facing rejection feedback on social media,"Limbeek, R.J.E.","['Overgaauw, S.', 'Angelidis, A.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['aggression', 'adolescents', 'social judgement', 'social media']"
