title,author,supervisors,date,faculty,program,type,language,abstract,keywords
"Verschillen in leesbegrip, leessnelheid en print exposure tussen de verschillende opleidingsniveaus mbo, hbo en wo","Bos, Daniël","['Dijk, H. van', 'Jong-Kegel, C.A.T. de']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
The usability of an internet-based cognitive behavioral therapy for chronic pain,"Paulussen, Suzan","['Vaart, R. van der', 'Leusden, J.W.R. van']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"Sociale angst in de adolescentie: Een onderzoek naar het effect van de puberteit op de mate van sociale angst, met leeftijd als indicator voor puberale status","Steenhorst, Oona","['Harrewijn, A.', 'Molen, M.J.W. van der']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The Avoidant Personality Disorder Severity Index (AVPDSI): psychometric evaluation of a semi-structured clinical interview for DSM-IV avoidant personality disorder symptom severity,"Ketelaars, J.","['Greeven, J.F.', 'Noordenbos, G.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Avoidant Personality Disorder', 'semi-structured interview']"
Beyond ciudad Juárez: The causes of femicides throughout Mexico,"Hietbrink, Eline","['Coppenolle, B.S.K. van']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
An investigation into the moderating role of attentional control in the relation between interpretation bias and social anxiety,"Raadgever, Ilona","['Miers, A.C.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Attentional control', 'Interpretation bias', 'Social anxiety']"
The influence of parental sensitivity on children’s compliance,"Sibma-Kappert, Marleen","['Boelens, H.', 'Berkel, S.R. van']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Compliance', 'children', 'parental sensitivity']"
The effect of distributed practice and sleep on laparoscopic skill acquisition and retention,"Cheung, Racheal","['Band, G.P.H.', 'Jongkees, B.J.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Slimmer dan je denkt? Onderzoek naar de invloed van impliciete intelligentietheorieën van leerlingen en leerkrachten op competentiegevoelens van leerlingen,"Piet, Naomi","['Bakker-van den Berg, Alissa', 'Stroet, K.F.A.']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
The effect of formative feedback on narrative or expository text comprehension,"Blok, Esther de","['Swart, E.K.', 'Merkelbach, I.']",2016,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,en,,
"An investigation into fear learning, fear generalization and trait anxiety in children","Saadat, Sepideh","['Steinbeis, N.A.J.', 'Guroglu, B.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"De invloeden van symptomen van ADHD, emotionele problemen en geslacht op slaapproblemen","Veger, Marente","['Kuiper, K.C.', 'Vermeulen, M.C.M.']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Rusland in de aanval! Een noodzakelijke verdediging?,"Sarshar Kamaei, Jordi","['Oversloot, J.']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Representatie als standing for in Nederland: Over de descriptieve representativiteit van oude en nieuwe vertegenwoordigingen,"Zomer, Ard","['Oversloot, J.']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Moved by the spirit: Sensing the divine in a Dutch Pentecostal church,"Reid, Annelise","['Maaker, E. de', 'Florusbosch, H.']",2016,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,en,,
