title,author,supervisors,date,faculty,program,type,language,abstract,keywords
De invloed van stemming op mentale inspanning: De rol van taakcontext,"Marcelis, Jetske","['Steenbergen, H. van', 'Wehebrink, K.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De samenhang tussen tablet- en smartphonegebruik van peuters en kleuters en hun woordenschat en de rol van ouders,"Kwidama, Urlisa","['Swart, E.K.', 'Dijken, M.J. van']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"Power, social motives and group negotiation","Boukich, Ghizlan","['Steinel, W.', 'Harinck, F.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The effect of microdosing psychedelics on decision making: A longitudinal triple-blind randomized controlled trial,"Wurff, H.M. van der","['Maraver Romero, M.J.', 'Prochazkova, L.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
De rol van het immuunsysteem en stress in fysieke veroudering,"Hogeslag, Bryant","['Tollenaar, M.S.', 'Kleine, R. de']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Political fake news: Level of identification and ambiguity on political driven belief,"Persoon, Cas","['Pereira, A.L.', 'Scheepers, D.T.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Local politicians in national legislatures: How do they Vote? A case study of voting behavior in Germany’s 17th Bundestag (2009-2013),"Sramota, Sarah","['Mickler, T.A.', 'Meijerink, F.G.J.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Parlementair gedrag van lokale partijen in Nederland: Is er een verschil in de wijze waarop lokale en nationale partijen gebruik maken van hun bevoegdheden in de gemeenteraad?,"Kempers, Joost","['Otjes, S.P.', 'Louwerse, T.P.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,nl,,
The effect of childhood trauma and cognitive control on aggression,"Dieteren, Julia van","['Schuitema, I.', 'Ruitenberg, M.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
De leesroutine van kinderen in groep 7 en 8: Relaties met ouderbetrokkenheid en de geletterde thuisomgeving,"Sakko-Zwaneveld, Annemieke","['Mol, S.E.', 'Espin, C.A.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Het verband tussen emetofobie en emotioneel redeneren op basis van walging,"Fasol, Louise Marguerite","['Verwoerd, J.', 'Rover, M.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
On the use of limited aims strategy following compellence,"Smits, Pim","['Pellikaan, H.', 'Veer, H. van der']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
The effects of group-based moral superiority and inferiority on prejudice,"Schmidt, Jana","['Pliskin, R.', 'Scheepers, D.T.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Digitaal moddergooien in het Trump-tijdperk: Negatieve campagnevoering in het Amerikaanse Congres,"Swets, Floris","['Mickler, T.A.', 'Meijerink, F.G.J.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
International institutions and normative change: The legalisation of abortion in Ireland,"Seeters, Annemijn van","['Verdun, A.C.', 'Willigen, N.J.G. van']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
The relationship between parental depression symptoms and problem behavior in adolescents of parents with a chronic medical condition,"Youssif, Firas G.","['Sieh, D.S.', 'Ly, V.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Zwerfafval in het stadspark: Wat is de invloed van vuilnisbakken op zwerfafval en de parkbeleving?,"Martelaere, Veerle de","['Doesum, N.J. van', 'Boomsma, C.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Effects of perceived control on mood and the role of locus of control,"Dianellou, Garyfallia","['Ly, V.', 'Beurs, E. de']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
De invloed van toegevoegde neurowetenschappelijke informatie op de geloofwaardigheid van onderwijsgerelateerde teksten: Het SANE-effect bij leerkrachten in het Nederlandse basisonderwijs,"Strijdhorst, Elisabeth","['Helder, A.', 'Jolles, D.D.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Effect of low social support on heart rate variability (HRV) in daily life,"Bijleveld, M.E. van","['Brosschot, J.F.', 'Kitselaar, W.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Sociaal gedrag van 3-6 jarige kinderen met een geslachtschromosomale variatie,"Eerhard, Bianca","['Bouw, J.C.', 'Vermeulen, M.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Persuading Iran: Measuring Hawkins’ norms,"Coppola, Vincent","['Benneker, V.', 'Cauter, J. van']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
The dangers of mind wandering while driving: Driver and gender differences on driving behaviours,"Wieme, Richella R.C.","['Basso-Moro, S.', 'Maraver Romero, M.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
De rol van emotioneel redeneren: Specifiek cultuurverschillen bij smetvrees(klachten),"Jong, Charlene 't","['Verwoerd, J.', 'Rover, M.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Autonomie in de relatie tussen psychologische controle en internaliserende problemen,"Habibi, Morwarid","['Vedder, P.H.', 'Geel, M. van']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Is leergeld amsterdam effective in helping children living in poverty? A data analysis of leergeld amsterdam.,"Meij, Anna van de","['Stallen, Mirre', 'Dijk, Wilco van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
