title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Vluchtelingen en Nederland: Een analyse van het morele complex omtrent het wel of niet opvangen van vluchtelingen in Nederland,"Borne, Suzanne van den","['Mansvelt Beck, F.F.']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Just war theory and the fight against ISIS: An ethical analysis of parliamentary debates in the Netherlands from 2014-2016,"Janse, Sarah","['Mansvelt Beck, F.F.']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
"One man's tragedy, another man's delight? Our willingness to benefit from the misfortunes of other","Meyer, Jan","['Lelieveld, G.', 'Dijk, E. van']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Legitimering van het vluchtelingenverdrag: Veranderende opvattingen van Nederlandse politici over het verdrag,"Vermolen, Janna Marie","['Koole, R.A.', 'Boin, R.A.']",2016,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,nl,,
Cartoneros en consumenten: Het verschil in status tussen afvalverwerkers uit twee verschillende samenlevingen onder de loep genomen,"Antonides, Judith","['Boog, I.', 'Heide, N. van der']",2016,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,"['Afval', 'status', 'werk', 'recycling']"
Independency or not? A comparative analysis of the effect of (non-) sovereignty on the economic performance of small states and dependencies in the Caribbean,"Börger, Sonja","['Coppenolle, B.K.S. van']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Jouw deeleconomie is de mijne: Hoe de deeleconomie in Nederland wordt 'geframed',"Jong, Pieter de","['Bähre, E.', 'Postma, M.A.']",2016,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,nl,,
"Testosterone, risk-taking and alcohol: The role of ambiguity attitude as a mediator of the relation between testosterone and alcohol use in adolescents","Galabova, Hristina","['Blankenstein, N.E.', 'Steinbeis, N.A.J.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
How resource scarcity influences consumers’ preference for luxury products,"Ruit, Suzana van de","['Blaker, N.', 'Marguc, J.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The association between disturbed sleep rhythms and pain in patients with rheumatoid arthritis,"Köhnecke, Franziska","['Veldhuijzen, D.S.', 'Laarhoven, A.I.M. van']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The relation between cognitive coping strategies and tone regularity on threat processing in young adults,"Baars, Janneke","['Steinbeis, N.A.J.', 'Güroğlu, B.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
