title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Emotion regulation and impulsivity as predictors of borderline personality symptom severity: The role of childhood trauma,"Brousianou, A.V.","['Krause-Utz, A.D.', 'Guicherit, J.A.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Learning how to adapt your behaviour in social interactions: A study examining the development of adaptive social learning and the influence of affective and cognitive empathy,"Wijs, Madelon E.","['Westhoff, B.', 'Duijvenvoorde, A.C.K. van']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Working memory and auditory rhythmic motor entrainment to musical stimuli varying in rhythmic complexity,"Verdiesen, Jaimie","['Schaefer, R.', 'Middendorp, H. van']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Het verband tussen de inhibitiecontrole van ouder en kind en de modererende rol van temperament,"Steen, Sanne van","['Kolijn, L.', 'Euser, S.']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Alcoholgebruik en probleemgedrag bij jongeren en jongvolwassenen,"Martens, Marleen","['Huijbregts, S.C.J.', 'Adrichem, D.S. van']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Explaining modes of executive-legislative relations: Empirical evidence from Dutch local councils,"Well, Rick van","['Andeweg, R.B.', 'Castenmiller, P.G.']",2018,Faculty of Social & Behavioural Sciences,Political Science and Public Administration (research) (MSc),Research master thesis,en,,
Tweeting Trump: Political leadership as a factor for swagger in international relations and its possible implications for behavior online,"Ruijter, Frédérique de","['Bakker, F.', 'Pomorska, K.']",2018,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
"Samen met je collega's stressvrij aan de slag met agressieve leerlingen: Een onderzoek naar de relatie tussen agressieve leerlingen, burnoutklachten bij docenten en de rol van collegiale support als moderator","Heuvel, Daphne van den","['Wijn, A.N. de', 'Ham, C.J.M. van der']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Haastige spoed is zelden goed: Een correlationeel onderzoek naar consciëntieusheid en de Speed-Accuracy Trade-off in een beslissingstaak,"Westerhuis, Rosa","['Sjoerds, Z.', 'Behrens, F.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Het gekozen burgemeesterschap: De opties op tafel,"Thijssen, Justin","['Oversloot, J.', 'Mijerink, F.']",2018,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
The OPCW in Syria: Reactions to the renewed use of chemical weapons,"Ryan, Perry","['Willigen, N.J.G. van', 'Meijerink, F.G.J.']",2018,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
"Psychopathie, gamen en schoolbetrokkenheid: Een gameverslaving als mediërende factor in de relatie tussen de componenten van psychopathie en schoolbetrokkenheid","Snijders, Femke","['Geel, Mitch van', 'Vedder, Paul']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Monitoring health-related quality of life issues and the communication self-efficacy in patients with breast cancer,"Jongh, F.A. de","['Doef, M. van der', 'Dijk, S. van', 'Fischer, M.', 'Lugtenberg, R.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['breast cancer', 'patient-provider communication', 'quality of life', 'self-efficacy']"
The Mediating Role of Dissociation on the Relationship between Childhood Sexual Abuse and Experienced Sexual Intimate Partner Violence,"Šimková, Andrea","['Krause-Utz, A.D.', 'Antypa, N.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Wit privilege binnen het hoger onderwijs: Een vergelijkende studie tussen de Verenigde Staten en Nederland,"Jorritsma, Eline","['Rana, J.', 'Maaker, E. de']",2018,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,en,,
The role of childhood residential mobility in the relationship between childhood trauma and borderline personality disorder,"Kiessling, Kristin","['Krause-Utz, A.D.', 'Hamstra, D.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
De duur van borstvoeding en verschillende aspecten van eetgedrag van kinderen op éénjarige leeftijd en voedingsgedrag van de moeder,"Vreugdenhil, Inge","['Veek, S. van der', 'Vliet, M. van']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
,,,,,,,,,
"Het effect van het format op rekenopgaven bij breuken en decimale getallen bij leerlingen uit groep acht, de eerste en tweede klas","Wilschut, Enneke","['Mostert, T.', 'Hickendorff, M.']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
The role of interpersonal functioning on post-traumatic stress disorder symptom severity among adult survivors of childhood trauma,"Virk, H.J.","['Lee, J.', 'Sieh, D.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['interpersonal functioning', 'childhood trauma', 'PTSD']"
Wat voor invoed heeft ouder worden op het verbale werkgeheugen en tekstbegrip?,"Knijff, Marie-Noël","['Koornneef, A.W.', 'Bruïne, A. de']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Evaluating discrete and continuous time metrics on session and day basis to investigate the (time-varying) factors affecting therapy ending of the first psychotherapy episode,"Struijkenkamp, Brigitta","['Wilderjans, T.F.', 'Dusseldorp, E.', 'Kelderman, H.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Skilled hearing: Embodied skill among sound engineering students,"Bakkum, Roel van","['Westmoreland, M.', 'Barendregt, B.']",2018,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
