title,author,supervisors,date,faculty,program,type,language,abstract,keywords
"The potential role of disease-related stressors, social support, and gender for quality of life in people with Alopecia areata: Health and Medical Psychology","Jeltema, Amanda E.","['Middendorp, H. van', 'Doef, M. van der']",2020,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
How distraction from smartphones affects your satisfaction and consumption in online shopping,"Solca, Stefan-Alexandru","['Weiden, A. van der', 'Molenmaker, W.']",2020,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Online Consumerism and Experienced Satisfaction, the effect of Distraction.","Davidsen, Nicholas","['Weiden, A. van der', 'Molenmaker, W.']",2020,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
“I Can’t Get No Satisfaction!”: On Distraction and Satisfaction,"Spiesová, Veronika","['Weiden, A. van der', 'Molenmaker, W.']",2020,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
The Influence of Distraction on Online Consumer Satisfaction,"Berisha, Tribun","['Weiden, A. van der', 'Molenmaker, W.']",2020,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Rumination, heart rate variability in different contexts and the default mode network","Zimmermann, Charlotte","['Rover, M. de', 'Giezen, A. van']",2020,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Development of social unity in public education systems: The case of Bosnia-Herzegovina,"Teodosijevic, Marko","['Tsagkroni, V.', 'Ragazzi, F.']",2020,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Reconstructing gender identity through dressing: A study of transgender and transsexual people in Amsterdam,"Maria, Charissa Stella","['Keurs, Pieter ter', 'Saptari, Ratna']",2020,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
The place of autonomy in Joseph Raz’s liberal perfectionism: Exploring valuable autonomy,"Holtzapffel, Jelle","['Nieuwenburg, P.', 'Mansvelt Beck, F.']",2020,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Nature is watching you: The effect of animal eyes on litter in the park,"Lommerse, Babs","['Wal, A. van der', 'Doesum, N.J. van']",2020,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
‘Rationele overlever of strategische partner?’ Defensie-uitgaven van kleine staten in het licht van high and low politics,"Student, X.","['Veenendaal, W.']",2020,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Het leesproces vereenvoudigen voor de beginnende lezer; zijn aanpassingen in tekstopmaak dé oplossing?,"Verkuijl, Sofie","['Koornneef, A.', 'Helder, A.']",2020,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Kijk en leer; Een experimenteel onderzoek naar de invloed van hechte vriendschap op observationeel leren tijdens de adolescentie,"Jeuken, Lieke","['Koele, Iris', 'Wierenga, Lara']",2020,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Exploring the DSM 5 criterion emptiness in borderline personality disorder,"Schlechter, Sarah","['Krause-Utz, A.D.', 'Antypa, N.']",2020,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Het verleidende effect van neurowetenschappelijke ondersteuning in onderwijs gerelateerde artikelen,"Huisman, Jose","['Helder, A.', 'Oudega, M.']",2020,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Belief stability of the operational code of Donald Tusk,"Pourjalili, Mani","['Bakker, Femke', 'Veenendaal, Wouter']",2020,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Drie kleine Balkanstaten: De weg naar de keuze voor een veiligheidsstrategie,"Hogervorst, Louise","['Veenendaal, W.', 'Biezen, I. van']",2020,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Combineren van grijze stof dichtheid en subcorticale volume metingen leidt to betere classificatie Alzheimer,"Tol, Marjolein","['Vos, F. de', 'Heyman, T.']",2020,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The influence of foreign policy experience on a leader’s operational code,"Zonneveld, Marjolein van","['Willigen, N. van', 'Robison, N. van']",2020,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Kan men jeuk ervaren via een illusionaire arm? De rol van verwachtingen,"Opdorp, Michelle van","['Laarhoven, A.I.M. van', 'Middendorp, H. van']",2020,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Association of Beta Amyloid with Cortical Thickness and Memory in Cognitively Healthy Oldest Old,"Schröder, Kim","['Schuitema, I.', 'Houdt, C.A. van']",2020,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Do color and product congruence positively influence banner ads’ efficacy? An eye-tracking study,"Vlug, Niki Gisele","['Kwaadsteniet, E. de', 'Boezeman, E.']",2020,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Willpower and Performance: Waarom om hulp vragen als je het allemaal zelf wel kan?,"Horst, Suchita Van der","['Weiden, A. van der', 'Stallen, M.']",2020,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Mindfulness-based Interventions and Emotion Regulation among Adolescents: A Systematic Review and Meta-analysis,"Schöppe, I.C.","['Tona, K.D.', 'Ly, V.']",2020,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Does the increasing use of private military and security companies for the use of force abroad lead to unintended consequences for the United States?,"Berkman, Eva","['Pellikaan, H.', 'Mickler, T.']",2020,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
"State Size as a Force for Peace? Small States, Liberal Peace Theories, and War","Schaap, Floris","['Veenendaal, W.', 'Biezen, I. van']",2020,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Home is where the heart is; An analysis of local-orientation in parliamentary questions,"Leeuwis, Olaf","['Mickler, Tim', 'Meijerink, Frits']",2020,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
De rol van gehechtheid in de relatie tussen traumasymptomen van een ouder en traumasymptomen van een kind,"Hoogendoorn, Inge","['Asdonk, S. van der', 'Veen, R. van der']",2020,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Acold war consensus on compellence; A comparative study between democratic and republican administrations,"Giessen, Maarten van","['Pellikaan, H.', 'Köhler, K.']",2020,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
