title,author,supervisors,date,faculty,program,type,language,abstract,keywords
"Angst, depressie en expliciet geheugen: Een onderzoek naar de samenhang tussen angst, depressie en het expliciet geheugen","Bulkens, Anne","['Tollenaar, M.S.', 'Edelaar-Peeters, Y.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The interplay of test anxiety and giftedness in dynamic testing,"Purnot, Fréderique","['Vogelaar, B.', 'Resing, W.C.M.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Verschillen leerkrachten met een reguliere PABO-opleiding en met een ACPA-opleiding in de mate waarin ze onderzoeksmatig werken?,"Verbeek van Mourik, Kimberley","['Paridon, Yolinde', 'Stroet, Kim']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Using eye movements to predict reading skills in children: An eye tracking study while reading aloud a narrative,"Wulp, Jeanne van der","['Nijboer, F.', 'Zee, Y.J. van der']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Voorlezen: Welke invloed heeft voorlezen op het leesproces?,"Gotink, Jill","['Moort, Marloes van', 'Koornneef, Arnout']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Perceived stress and sleep quality,"Goelmohamed, Razien N.K.","['Hamstra, D.A.', 'Does, A.J.W. van der']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Inhibiting the default stress response: Loving-kindness meditation and enhanced social connectedness in extraverts versus introverts,"Zeiske, Nina","['Brosschot, J.F.', 'Middendorp, H.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Outcome monitoring in substance abuse treatment: Comparing three performance indicators, substance use, functioning and psychopathology","Weizig, Haite","['Beurs, Erwin de', 'Heide, Dianne van der']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The joint effect of tVNS and stress on mood and cognitive flexibility in a healthy population sample,"Cappelen, Helena","['Tona, K.', 'Sellaro, R.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Sources socially excluding targets: The role of the sources highlighted,"Dekker, Sophia","['Doolaard, F.', 'Lelieveld, G.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,['social exclusion']
De dynamiek van issuecompetitie: Een analyse van de toetreding van de Partij voor de Dieren tot het Nederlandse parlement,"Kleef, Charlotte van","['Mickler, T.', 'Coppenolle, B. van']",2018,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
De relatie tussen slaap en risicogedrag in de puberteit: Wordt de relatie tussen het hormoon testosteron en risicogedrag gemedieerd door slaapduur,"Chohabi, Laila","['Macks, Z.A. op de', 'Groep, S. van de']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The influence of adverse childhood experiences and borderline personality traits on disordered eating: Do borderline personality disorder features mediate the associations between CSA and CEA with eating disorder features,"Cruden, K.J.","['Krause-Utz, A.D.', 'Antypa, N.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
The evaluation of individuals expressing concordant and sicordant emotions.,"Dijkstra, Wouter","['Dijk, Wilco van', 'Seip, Elise']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"De relatie tussen beslissingsruimte, werk- en tijdsdruk en burnout bij docenten in het voortgezet onderwijs","Blanken, Martine Christina","['Wijn, A.N. de Wijn', 'Ham, C.J.M. van der']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De ontwikkeling van reactieve en proactieve inhibitie en de relatie tot tekstbegrip,"Blok, Esther","['Schel, M.A.', 'Leijenhorst, Linda van']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Expanding the pie: The effects of gender and power on value creation in negotiations,"Mokken, Fabienne","['Steinel, W.', 'Harinck, S.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The effect of therapies that target anxiety on RNT: A meta-analysis,"Tsagkalidou, Anesteia","['Spinhoven, P.', 'Molendijk, M.L.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['meta-analysis', 'RCT', 'worry', 'meditation', 'CBT']"
