title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Is er een verband tussen sociaaleconomische status en sensitiviteit: De rol van sociaaleconomische status en opleidingsniveau bij sensitiviteit,"Kraus, Leonoor","['Buisman, R.', 'Alink, L.R.A.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Intergenerationele overdracht van kindermishandeling: De relatie met chaos in de thuisomgeving en sociaaleconomische status,"Vogler, Desirée","['Nefs, H.T.', 'Rippe, R.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
The impact of substance use on moral evaluation and psychopathic traits in multi-problem young adults,"Fieret, Dennis","['Hiele, K. van der', 'Kuil, M.N.A. van der']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The effect of neurofeedback on neuropsychological domains for adolescents with complex problems in closed forensic residential care,"Cheppih, Samira","['Schuitema, I.', 'Houdt, C. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Military defection in the MENA region: Lessons learned from the Arab Spring,"Berg, Safiya van den","['Koehler, K.', 'Brinkel, T.B.F.M.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Dynamic testing - Gender differences in gifted and average-ability childen's progression in analogical reasoning: Does test anxiety play a role?,"Astigarraga Etxabe, Itxaso","['Vogelaar, B.', 'Resing, W.C.M.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Merenque; Het Dominicaanse DNA?,"Haan, Mirjam de","['Barendregt, Bart', 'Jansen, Jan']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,
Meegemaakte emotionele- en fysieke verwaarlozing van ouders en non-intrusiviteit,"Loos, Charlotte van der","['Andeweg, S.', 'Rippe, R.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
De samenhang tussen leeftijd en agressie van moeder en probleemgedrag bij het kind,"Seidita, Christel","['Huijbregts, S.C.J.', 'Swaab, H.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Differences in parent attachment between children with chronically ill and healty parents.,"Wit, Sophia","['Sieh, Dominik', 'Giezen, Anne van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The influence of institutionalization of compensation and having a voice in the spending of the compensation on public acceptance of Carbon Capture and Storage (CCS) projects,"Mulder, Mark","['Mors, E. ter', 'Leeuwen, E. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The alliance of small island states and the struggle against the tide of the times: The success of leadership strategies in a warming world,"Akkerhuis, Wanja","['Veenendaal, W.', 'Biezen, I. van']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
De historische institutionele ontwikkeling van Haïti en de Dominicaanse Republiek,"Droste, Rob","['Zwart, F. de', 'Oversloot, H.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
De (over)gevoeligheid van het kind voor prikkels uit de omgeving als mogelijke moderator in de relatie tussen chaos in de thuisomgeving en externaliserend probleemgedrag,"Boer, Miriam den","['Zandvliet, R.', 'Alink, L.R.A.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Soldiers of fortune? The American post-cold war political debate about the use of private military companies during Operation Iraqi Freedom,"Siccama, Steven","['Reuler, A.A.H.E. van', 'Meffert, M.F.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
"Religious coping, motivation and sympstoms of substance use disorder: A match made in heaven?","Lok, Sarmin","['Koenders, M.', 'Giezen, Anne van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Application of the theory of planned behavior and job conditions on sickness presenteeism,"Delft, Aryanne van","['Verhoeven, C.', 'Doef, M. van der']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Investigating the interrelation of identity and nation: The Flemish case,"Rowland, Thomas","['Tsagkroni, V.', 'Mansvelt Beck, F.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Conditioned nocebo effects on itch and their relationship with mindfulness,"Berentelg, Lisa","['Blythe, J.', 'Schaefer, R.S.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Kieskeurigheid in eten: wat wil je (w)eten? Een onderzoek naar kieskeurigheid in eten op de leeftijd van 24 maanden en de relatie met kieskeurigheid op twaalf maanden, welbevinden van het kind en toegeeflijkheid en uitgeoefende druk van moeder op 24 maanden","Vreugdenhil, Inge","['Oudega, M.H.', 'Vliet, M. van']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Seeking security in an insecure region: The cases of Bahrain and Djibouti,"Azaoui, Jaouad","['Veenendaal, W.P.', 'Biezen, I. van']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Confusing but interesting: How a task-focused mindset can change the impact of confusion about complex innovations,"Zieverink, Esther Maureen","['Noordewier, M.', 'Dijk, E. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"Colombia’s development strategy: The creation of intersectoral linkages in the oil and mining industries, 1990-2015","Cardona Rodríguez, Andres","['Nem Singh, J.T.', 'Giuseppe, M. di']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
The role of personality traits in the onset of binge eating disorder symptoms among adult survivors of emotional abuse and neglect,"Pretorius, A.K.","['Lee, J.Y.', 'Aktar, E.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Keep the anticommons dilemma from turning into a tragedy: The effect of profit uncertainty and externalities awareness on cooperation in an anticommons dilemma,"Joosten, Maysa","['Kwaadsteniet, E.W. de', 'Dijk, E. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
De invloed van werkdruk en eigen effectiviteit op burn-out klachten onder leerkrachten in het basisonderwijs,"Oosterveer, Christian","['Wijn, A.N. de', 'Middendorp, H. van']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
"Work functioning of employees who have chronic health-impairments: Investigating the role of constructive and destructive leadership, and underlying psychological processes","Mauer, Merel in den","['Boezeman, E.', 'Doef, M. van der']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The effect of subtitles in videos: Beneficial or detrimental,"Croese, Yentl","['Koornneef, A.', 'Jolles, D.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,en,,
"""Gaat neuroticisme samen met ruminatie?""","Öztürk, Dilara","['Rover, M. de', 'Verwoerd, J.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De invloed van mental rotation vaardigheid op egocentrische en allocentrische lokalisatie: Een virtual reality navigatieonderzoek,"Verhagen, Remco","['Kuil, M. van der', 'Middendorp, H. van']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
"Dynamic testing of analogical reasoning, cognitive flexibility and test anxiety in gifted and non-gifted children","Schurg, Jolien","['Vogelaar, B.', 'Resing, W.C.M.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
De interactie tussen behandelaar en patiënt: De voorkeur voor de uitleg van het placebo-effect,"Royen, Julika van","['Smits, R.M.', 'Middendorp, H. van']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Emotieherkenning en empathie bij Nederlandse en Taiwanese kinderen van 3 tot 8 jaar oud,"Vos, Eveline","['Li, B.', 'Groep, S. van de']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The effect of frequent social media use on daily stress levels in international students,"Chvalovský, Ivan","['Fried, E.', 'Bruijn, E. de']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Appraisal and recognition respect in non-profit organizations: Interactional justice and self-sacrifice as predictors and effects on the cooperation, collective identity, and stress, of volunteers","Hilders, Joyce","['Boezeman, E.J.', 'Leeuwen, E.A.C. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Leidt een verleden van kindermishandeling tot chaos in de thuisomgeving in de volwassenheid?,"Broek, S. van den","['Alink, L.R.A.', 'Rippe, R.C.A.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Probleemgedrag van pleeg- en adoptiekinderen in de klas: Het perspectief van de leerkracht,"Jonkman, Naomi","['Smeets, D.', 'Nefs, H.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
De relatie tussen gender labeling en sociaaleconomische status bij vaders en moeders,"Ottink, S.","['Vet, S.M. de', 'Huffmeijer, R.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
"Place attachment, developer identity and place-technology fit influencing support for wind farm development: A hypothetical case study","Happee, Maud","['Boomsma, C.', 'Dillen, L.F. van']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Is verwaarlozing in de kindertijd een risicofactor voor latere delinquentie? Een meta-analyse,"Dejonghe, Lisa R.M.","['Bilo, J.E.', 'Alink, L.R.A.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"He who laughs, lasts? Examining the moderating effect of coping with humour on the relationship between negative life events and anxiety in older adults","Tramper, E.N.","['Witlox, M.', 'Berg, J. van den']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The influence of power disparity on compliance: A comparative case study of the WTO dispute settlement mechanism,"Kooi, Eveline","['Meegdenburg, Hilde van', 'Thomas, Daniel C.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Intensity of cardiovascular threat responses after identity versus resource intergroup threat appeals,"Zonneveld, Ellen","['Scheepers, D.T.', 'Pliskin, R.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"Towards preventing recidivism among violent juveniles: The role of pedagogical climate, motivation for treatment, and disruptive behavior disorders","Guldenaar, A.E.","['Andeweg, S.', 'Huffmeijer, R.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Appropriating the global; Looking at cultural appropriation and musical exchanges in the digital era,"Berg, Victoria van den","['Barendregt, Bart', 'Jansen, Jan']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,en,,
Learning to persist despite setbacks and potential links to mental health,"Nolte, Zora S.","['Will, G.J.', 'Putman, P.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Invloeden op de relatie tussen risico op crimineel gedrag en visuele emotieherkenning bij kinderen van 5 tot 18 jaar: Impulscontrole en frustratietolerantie,"Heijnen, P.A.A.","['Huijbregts, S.', 'Swaab, J.T.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Raising the bar on voting age: Are adolescents politically able by age 18?,"Talman, Jildou R.","['Pliskin, R.', 'Dillen, L.F. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (research) (MSc),Research master thesis,en,,
The role of personality in the onset of borderline personality traits among adult survivors of childhood trauma,"Lemstra, Leigh-Anne","['Lee, J.', 'Berg, J. van den']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
