title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Open label placebo and the conditioning of antihistaminergic effects in healthy participants,"Zwieten, Noa van","['Meeuwis, S.H.', 'Middendorp, H. van']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Is meemaken doen?: Het verband tussen negatieve opvoedervaringen en negatieve ouderschapsstijlen bij vaders en moeders,"Gunther, Yanthe","['Buisman, R.S.M.', 'Alink, L.R.A.']",2017,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"Relatie tussen de Dark Triad, (Cyber)Pesten en Sekse onder mbo-studenten.","Wijsman, Emilie","['Geel, Mitch van', 'Zwaanswijk, Wendy']",2017,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Parental stress and the negativity bias in infants' first year of life,"Cohen, Maayan","['Aktar, E.', 'Krause-Utz, A.D.']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Proline levels, cognitive decline and risk for psychotic disorders in patients with the 22q11.2 deletion syndrome: A longitudinal study","Voorst, Mike van","['Habers, G.E.A.', 'Schuitema, I.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"Factoren die samenhangen met prestaties op breukenopgaven in groep acht van het primair onderwijs en de eerste en tweede klas van het voortgezet onderwijs: Format (contextopgaven en kale opgaven), onderwijstype (primair onderwijs en voortgezet onderwijs), tekstbegrip en geslacht","Gilsing, Marleen","['Mostert, T.M.M.', 'Hickendorff, M.']",2017,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Rewarding behavior in public good dilemmas and common resource dilemmas,"Duchenne, Nick","['Molenmaker, W.E.', 'Lelieveld, G.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Reward', 'Social dilemma', 'Property distribution', 'Framing']"
"Performance evaluation of linear regression, logistic regression and survival analysis for time to event data in social science research","Roozen, Mila","['Linting, M.', 'Rippe, R.']",2017,Faculty of Social & Behavioural Sciences,Developmental Psychopathology in Education and Child Studies (research) (MSc),Research master thesis,en,,
The association between ADHD symptoms and risky decision making in adolescents,"Fokkert, Ivonne","['Habers, G.E.A.', 'Peerdeman, K.J.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Predicting criminal behavior using neurophysiology: The error-related negativity,"Koelemeijer, Manon","['Habers, G.E.A.', 'Schuitema, I.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
