title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Eigenbelang of groepsbelang,"Huisman, Ileen","['Molenmaker, Welmer', 'Steinel, Wolfgang']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
To meat or not to meat - The psychology of veganism: Relationship satisfaction with respect to different diets,"Blunck, Caroline","['Lee, J.', 'Fried, E.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
The influence of underlying motives for outgroup-helping on recipient’s attitude towards the helper,"Elteren, Eva van","['Leeuwen, E.A.C. van', 'Toorn, J. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Accommodate or fight: military reactions to separatist movements in Indonesia,"Vuurpijl, Simone","['Köhler, K.', 'Brinkel, T.B.F.M.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
"Optimism and neuroticism and their relationship with general stress, acute stress, and stress recovery","Roelants, Annemijn","['Middendorp, H. van', 'Laarhoven, A. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Classificatie van de ziekte van Alzheimer aan de hand van structurele en functionele MRI,"Ruiter, Sophie de","['Vos, F. de', 'Ginkel, J. de']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The effect of nuclear weapons in compellent threats: A research on the influence of possession of nuclear weapons on the success of a compellence case,"Vliet, Anouk van","['Pellikaan, H.', 'Veer, H. van der']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Samenhang tussen ouderschapsvaardigheden van moeder en de executieve functies van kinderen uit hoog- en laag-risicogezinnen,"Walraven, Minke","['Huijbregts, S.', 'Swaab, H.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
De modererende rol van geslacht in de relatie tussen psychologische controle en identiteitsstijlen bij adolescenten,"Arens, Elize","['Vedder, P.H.', 'Geel, M. van']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"Food, color and approach tendencies","Rosenboom, Valerie Frederique Martine","['Zech, H.G.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Seksueel misbruik en de gevolgen van seksueel misbruik in relatie tot informele en formele hulpverlening bij vrouwen,"Oomen, Floor","['Geel, M. van', 'Vedder, P.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Voedselconsumptie in Zuid-Afrika: sociale dimensies van klasse en ras,"Oppers, Fenne","['Boer, S. de', 'Luning, Sabine']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,
Women’s participation in political parties: An exploratory study on Dutch political party committees,"Derkx, Aniek","['Otjes, S.', 'Biezen, I. van']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Prosociaal gedrag van tweelingen met gescheiden ouders,"Heijden, Iris van der","['Nefs, H.T.', 'Zandvliet, R.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
The relation between preferences of brain-computer interfaces and functional status of people with locked-in syndrome,"Sars, Ruben","['Habers, E.', 'Schuitema, I.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Investigating the accuracy of model selection methods of independent component analysis,"Jaeger, Josef","['Durieux, J.', 'Karch, J.', 'Wilderjans, T.F.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Profit over people; The attritional influence of slow violence on the resistance against fracking in Groningen, the Netherlands","Vries, Lisa de","['Littlejohn, Andrew', 'Barendregt, Bart']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
Maze-task: Indicator of reading comprehension skills for elementary students,"Briceag, Mariana","['Swart, E.K.', 'Mol, S.E.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Sliding upward: The relationship between economic growth and environmental degradation in the Middle East,"Teeuwen, Annefleur","['Coppenolle, B. van', 'Thomas, D.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
De publieke omroep onder de loep: Het onzekere bestaan voor en tijdens de opkomst van digitale media,"Michiels, Lenne","['Jansen, Jan', 'Barendregt, Bart']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,
Becoming a politician: The political ambition of party members,"Dijk, Rozemarijn van","['Holsteyn, J.J.M. van', 'Louwerse, T.P.']",2019,Faculty of Social & Behavioural Sciences,Political Science and Public Administration (research) (MSc),Research master thesis,en,,
Negatief affect en expressieve en receptieve taal bij baby’s en peuters,"Ooijen, Rosa M.G. van","['Zandvliet, R.', 'Nefs, H.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Pupil mimicry and the psychopathic mind: The effects of psychopathic traits on trust and pupil mimicry,"Serrano de Geus, Rebecca","['Wehebrink, K.', 'Bassa-Moro, S.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
De samenhang tussen partnertevredenheid en hardhandig disciplineren van jonge kinderen tussen 13 en 15 maanden oud,"Richardson, Caitlin","['Mesman, J.', 'Bruijn, Y. de']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Mensenrechten onder El-Sisi: Een case study van Egypte en haar schending van de Convention Against Torture,"Afify, Lobna","['Benneker, V.', 'Demarest, L.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Emotieherkenning en gedragsproblemen bij Taiwanese dove en slechthorende kinderen,"Plooster, Jeanine","['Li, B.', 'Groep, S. van de']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
"Healthy gut, happy mood: The effect of a four-week probiotic intervention on affective mood measured by the PANAS","Meijer, Rosalyn","['Jonkees, B.', 'Behrens, F.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Childcare and bidirectional associations between parent-child relationships and peer-child relationships from preschool to adolescence,"Hendrikse, Sophie C.F.","['Vermeer, H.J.', 'Linting, M.', 'Rippe, R.']",2019,Faculty of Social & Behavioural Sciences,Developmental Psychopathology in Education and Child Studies (research) (MSc),Research master thesis,en,,
"Jeugdtrauma, stress en veroudering: Een onderzoek naar de relatie tussen jeugdtrauma en veroudering en de rol van huidige stress in deze relatie","Schalkens, Joyce","['Tollenaar, M.S.', 'Kleine, R. de']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
"Het verband tussen passief en actief uitstelgedrag, maximizing, en stress onder groep acht leerlingen","Spuijman, E.S.E.","['Hickendorff, M.', 'Koornneef, A.W.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
The sustainability of negotiated settlements: The exclusion of provisions on women as an impediment to peace,"Hendriks, Jessy","['Haer, R. van der', 'Jentzsch, C.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
The role of childhood trauma and PTSD on heart rate variability in borderline personality disorder during an emotion regulation task,"Botsari, Eirini","['Krause-Utz, A.', 'Bruijn, E. de']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The link between diasporas and regime change: The case of the Eritrean diaspora,"Hake, Ruben","['Zwart, F. de', 'Spirova, M.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
The psychological factors contributing to poverty: A positive perception could reduce financial shame,"Gibbes, Crystal","['Stallen, M.', 'Pliskin, R.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Do people prefer the explanation based on neurobiological mechanisms of the placebo effect?,"Ļevina, Marija","['Smits, R.M.', 'Middendorp, H. van']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Morele principes, strategische keuzes of Internationaal rechtelijke normen? Parlementaire overwegingen bij Nederlandse deelname aan niet-gemandateerde militaire interventies","Scholten, Lars","['Reuler, A.A.H.E. van', 'Coppenolle, B.K.S. van']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Rekeninteresse bij sterke rekenaars in het basisonderwijs,"Eck, Pien van","['Stroet, K.', 'Jolles, D.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Feminine lisaison: Latin American women's feminine cousciousness,"Koerhuis, Adaya","['Rana, Jasmijn', 'Maaker, Erik de']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,en,,
Where priorities lie: Could intrinsic motivation determine dietary willpower?,"Krémer, Marie","['Lee, J.', 'Fried, E.I.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Violation of homogeneity of variances: A comparison between Welch’s t-test and the permutation test,"Kock, Ruchella","['Karch, J.', 'Fokkema, M.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Wait, what did I just read? An insight into updating situation models in working memory while reading","Ho-Kang-You, Hebe","['Bruïne, A. de']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,en,,
Beware those horrid people: Exploring the verbal transmission of social anxiety from parent to child,"Szabo-Hemmings, Jozsef","['Aktar, E.', 'Fried, E.I.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
The forgotten variable: The role of group-based moral superiority in empathy,"Giba, Ágoston","['Pliskin, R.', 'Scheepers, D.T.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
De relatie tussen levensgebeurtenissen en alcoholgebruik en de invloed van geslacht en copingstijl op deze relatie,"Akkabi, Laila","['Huijbregts, S.', 'Swaab, H.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
The vegan ridicule: Barrier to behaviour change?,"Bosshard, Anna","['Lee, J.', 'Fried, E.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Stress and anxiety among students: A network perspective and the role of perceived safety,"Montbrun Salazar, Eduardo","['Fried, E.I.', 'Lee, J.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Factors of small state influence in the European Union: Analyzing Malta and Cyprus as EU influencers,"Theodorou, Stephanos","['Pomorska, Karolina', 'Blarel, Nicolas']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Verschil in relatie tussen competentie en competentiebeleving bij meisjes met loverboyproblematiek en meisjes met ernstige gedragsproblematiek,"Vrins, H.M.","['Nefs, H.T.', 'Andeweg, S.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"Share your pie, to expand your piece: The influence of social motivation and (un)balance on creating value in negotiations","Smit, Naomi","['Steinel, W.', 'Harinck, F.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The influence of the Russian annexation of Crimea in 2014 on the relationship between Russia and the West,"Heezen, Thijs","['Dooremalen, T. van', 'Vonno, C. van']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Onderhandelen! Ik of wij?: Een studie naar de invloed van sociaal motief en leiderschap op het onderhandelproces,"Hokke, Sam","['Steinel, W.', 'Boezeman, E.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Stemming en flexibiliteit: Hoe stemming invloed heeft op exploratief- en exploitatief gedrag,"Arkel, André van","['Sjoerds, Z.', 'Jongkees, B.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Visuele aandacht voor print bij kleuters met verschillende niveaus van letterkennis,"Olieman, Karin","['Sikkema-de Jong, Marga', 'Chung, S.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"The effects of vasopressin, testosterone and cortisol on amygdala activation in expectant fathers","Tranquille, Patrick","['Huffmeijer, R.', 'Bos, P.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,en,,
Niet normaal; Een literatuuronderzoek naar de invloed van classificatie op de geschikte verklaingen voor de discriminatie van mensen met albinisme in landen in Sub-Sahara Afrika,"Huijser, A.","['Pels, Peter', 'Naafs, Suzanne']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,
Do sensitive parents make for prosocial children? Investigating the link between parental sensitivity and children’s prosocial behaviour,"Ooms, Cleome","['Meulen, M. van der', 'Li, B.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
De relatie tussen leeftijd en prosociaal leren tijdens de adolescentie: Een onderoek naar de rol van (niet-)sociale beloningsgevoeligheid,"Zwaard, Lisanne","['Macks, Z.A. op de', 'Spaans, J.P.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De beoordeling van ouder- en kindfactoren door pleegzorgwerkers in het thuisplaatsingsbesluit van pleegkinderen,"Winter, Mariska de","['Schoemaker, N.', 'Geel, M. van']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Theory of Mind and internalizing symptoms in young children with Developmental Language Disorder (DLD),"Petrona, Zylah","['Rieffe, C.J.', 'Kortink, E.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Animal rights and moral vegetarianism - The moral status of nonhuman animals through a social contract approach,"Zucchetti, Gabriela","['Nieuwenburg, P.', 'Verschoor, M.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Emotieregulatie en intelligentie bij kinderen met SCT,"Ee, Mirjam van","['Urbanus, E.L.', 'Vermeulen, M.C.M.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Kennis van psychologie studenten na een simulation based inference lessenreeks,"Baas, Anouk","['Vetten, A. de', 'Vos, F. de']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Kleine staten in internationale organisaties,"Goes, Anouk","['Veenendaal, W.P.', 'Biezen, I. van']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
"""A new foreign policy"": An analysis of Egyptian foreign policy under the presidency of Abdul Fatah al-Sisi","Velzen, Jesse Johannes van","['Blarel, N.R.J.B', 'Ragazzi, F.P.S.M.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
New media technologies in religion: where authority and commercialization meet; A literature research into the mutual relationship between new media technologies and religion,"Wesdorp, Noortje","['Barendregt, Bart', 'Jansen, Jan']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,en,,
The effects of the crisis in Ukraine on the European Neighbourhood Policy introduction and research question,"Smit, Olivier","['Dooremalen, T. van', 'Benneker, V.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Using musical feedback training to improve cognitive functioning in stroke survivors: A pilot study,"Perschl, Johanna","['Schaefer, R.S.', 'Ruitenberg, M.', 'Fritz, T.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The effect of musical rhythm preference on arousal,"Janssen, Hanneke","['Schaefer, R.S.', 'Blythe, J.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
A souring relationship between the EU and Switzerland: Insights from practice theory,"Bertazzo, Danilo Paolo","['Pomorska, Karolina', 'Willigen, Niels van']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Politici instahot of instanot? Een onderzoek naar de invloed van Instagram op de voorkeurstemmen,"Dijkstra, Jelle","['Nagtzaam, M.A.M.', 'Holsteijn, J.J.M. van']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Expressieve taalvaardigheden en sociale angst bij kinderen met een extra X chromosoom,"Luijk, Sterre van","['Urbanus, E.L.', 'Vermeulen, M.C.M.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
"Van de vlieg naar de spin, in het web van media; Een literatuur onderzoek naar literacy en de roep om meer mediawijsheid","Kortekaas, Max","['Barendregt, Bart', 'Jansen, Jan']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,
Genderstereotypen van ouders en de zelfwaardering van hun kinderen: De voorspellende werking van expliciete genderstereotypen van ouders en de houding van ouders ten opzichte van gender non-conform gedrag op de zelfwaardering van hun kinderen,"Willemsen, Amy","['Mesman, J.', 'Groeneveld, M.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Effects of open-label conditioning on itch: Influence of the Behavioral Activation System,"Leijenhorst, Cora van","['Meeuwis, S.', 'Schuitema, I.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The influence of self-esteem on uncertain decision-making,"Hoedt, Steffanie den","['Kortink, E.', 'Molen, M. van der']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
