title,author,supervisors,date,faculty,program,type,language,abstract,keywords
The effect of self-affirmation on bullying,"Heide, Larisse","['Geel, M. van', 'Vedder, P.H.']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,en,,
Dutch fathers’ religious parenting: Relations with religious involvement and child-rearing beliefs,"Modhej, Yasamin","['Vermeer, H.', 'Vries, E.E. de']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,en,,
Psychosociaal functioneren van jongvolwassenen met een chronisch ziek gezinslid: Gedragsmatige coping bij jongvolwassen mannen en vrouwen met en zonder chronisch ziek gezinslid,"Zwart, Anneloes","['Sieh, D.', 'Molendijk, M.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De looks van een leider: Over de beoordeling van Mark Rutte en de invloed van gezichtskenmerken,"Engbersen, Dore","['Holsteyn, J.', 'Reuler, E. van']",2018,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
In hoeverre heeft de veranderende technologie invloed (gehad) op individuele en collectieve muziekervaringen,"Harmsen, Jente","['Barendregt, B.', 'Jansen, J.']",2018,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,
Sociale angst en emotieregulatie bij adolescenten met een extra X-chromosoom: een vergelijking met ASS,"Heijzen, Joëlle van","['Alink, Lenneke', 'Berkel, Sheila van']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Economic inequality and the quality of democracy: A statistical analysis on sub-Saharan Africa in the period between 1990-2012,"Voppen, Mirthe","['Coppenolle, B. van', 'Sampson, M.']",2018,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Associations between personality and trait self-esteem and self-esteem stability in response to social feedback,"Fens, Christiaan","['Will, G.J.', 'Scheepers, D.T.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
De invloed van de manier van lezen op leestijd en tekstbegrip,"Pijl, Janneke","['Moort, Marloes van', 'Koornneef, Arnout']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Fiscal reform in federal Germany: a normative study,"Hoff, Koen","['Mansvelt Beck, F.F.', 'Kopecky, P.']",2018,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
Political dissatisfaction and elite networks in Chile: An empirical case study on social unrest in Chile,"Heijnis, Nicole Corrie","['Zwart, F. de', 'Cranenburgh, O. van']",2018,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Voices of Jubilee: History and agency at Jubilee School,"Maleney, Clair","['Snowdon, P.', 'Jansen, J.']",2018,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
A study of compellence: The balance of military power and compellence success,"Tensen, Stijn","['Pellikaan, H.', 'Tromble, R.']",2018,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
"De relatie tussen het executief functioneren van baby’s en peuters, de opvoedingsstijl van moeders en ADHD kenmerken op de leeftijd van 30maanden; een moderatieanalyse","Hoogvliet, Tessa","['Nibbering, Nikki', 'Heijden, K. van der']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"The controversial antiquisation of the national identity in the Republic of Macedonia: Genesis, dynamics and internalization by the local populace","Biserov Pelev, Stefan","['Tsagkroni, V.', 'Spirova, M.']",2018,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
China and UNCLOS: An inconsistent relationship,"Fauzisyah, Vikar","['Longo, M.', 'Jentzsch, C.']",2018,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Better safe than sorry: The role of need for control in the preference for reversible decision-making,"Langefeld, Linde Carlijn","['Bullens, L.', 'Noordewier, M.K.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Can improvisation train negotiators to be successful? The effect of an improvisation training in a negotiation,"Suárez, Magdalena Elvira","['Harinck, F.', 'Steinel, W.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Algemeen executief functioneren en kwaliteit van leven bij volwassenen met matig tot ernstige angstklachten,"Joychinta, Leine","['Sonneville, Leo de', 'Abbing, Annemarie']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"The relationship between contingency of reward, the SAT and mood: A quantitative metacontrol state model study of the speed-accuracy trade-off","Poel, Yvonne","['Sjoerds, Z.', 'Wehebrink, K.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
De ontwikkelingstrajecten van reactieve en proactieve inhibitie bij kinderen in de basisschoolleeftijd,"Waard, Mara de","['Schel, M.A.', 'Leijenhorst, L. van']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Beloningsgevoeligheid en pro-sociaal gedrag in de adolescentie: Verschillen tussen jongens en meisjes,"Middelkoop, Cerianne van","['Peper, J.S.', 'Spaans, J.P.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Emotional competence and social competence in Taiwanese children with a cochlear implant,"Diks, Leonore Esmee","['Li, B.', 'Bos, E. van den']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Het verband tussen chaos in het huishouden en het risico op kindermishandeling,"Bijl, Thara van der","['Alink, Lenneke', 'Prevoo, Marielle']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
De Validiteit van Vier Scoringsmethoden van Recall voor Begrijpend Lezen.,"Nijsse, Henrieke","['Guda, M.C.', 'Sikkema-De Jong, T.M.']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
The extinction of conditioned placebo and nocebo effects,"Grim, Esther","['Skvortsova, A.', 'Veldhuijzen, D.S.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Do spirits resist to exist or exist to resist?,"Enk, Markus","['Westmoreland, M.', 'Pels, P.']",2018,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
The relationship between expectations and placebo effects: An analysis of the dynamic expectations-placebo and possible mediating factors,"Tryfona, Angeliki","['Skvortsova, A.', 'Veldhuijzen, D.S.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Quantifying the link between news and sleep,"Knapen Almeida, Laura","['Ghosh, A.', 'Kret, M.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
