title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Time loss bias and reducing the bias by instruction,"Treurniet, Daniëlle","['Verschuur, W.L.G.', 'Groeneweg, J.', 'Svenson, Ola']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Time loss bias', 'time saving bias', 'debiasing', 'instruction', 'reducing bias']"
De invloed van probiotica op de cognitieve reactiviteit van laag frequente alcoholgebruikers ten opzichte van middel- tot hoog frequente alcoholgebruikers bij 55+'ers,"Estie, Florian","['Steenbergen, Laura']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Afschrikking middels balanceren: Toepassing op de India-Pakistan casus,"Ligthart, Djessie","['Pellikaan, H.']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Is engagement in sports related to the development of social skills? The association of engagement in sports in the development of friendship quality and perspective taking: A longitudinal perspective,"Liakopoulou, Athina","['Güroglu, B.', 'Bos, M.G.N.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Invloed van saccades op leestijd en tekstbegrip,"Hoogduin, Gea","['Danel, M.S.', 'Koornneef, A.W.']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
The influence of family on the development of social self-evaluation in adolescence,"Chang, Kirsten","['Aar, L.P.E. van der', 'Crone, E.A.M.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
De invloed van sociale dilemma’s op intergroepsbias in de handhaving van coöperatienormen,"Kat, Anouk","['Molenmaker, W.E.', 'Dillen, L.F. van']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Geen-Peilers: Onderzoek naar de democratie visie van de GeenPeil beweging,"Plas, Rex Hein van der","['Heine, J.A.H.']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Intensive EMDR to treat PTSD-patients with severe comorbidity: A case series,"Bongaerts, Hannelies","['Mouthaan, J.', 'Giezen, A.E. van', 'Jongh, A.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Depressie: een vrouwenziekte?: De rol van sekse in depressiesymptomen en het uiten van verdriet en boosheid,"Groot, Judith de","['Kunst, L.', 'Edelaar, Y.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
"Alcohol gerelateerd Facebook gebruik onder jongeren: De relatie tussen zowel persoonlijkheid, als motieven om te drinken op alcoholreferenties op Facebook","Bergman, Lejon","['Hendriks, H.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Vraag het de baas: Inzicht in presidentialisering in Nederland aan de hand van kamervragen,"Tiggelaar, Maria","['Holsteijn, J.J.M. van']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
The effects of transcutaneous vagal nerve stimulation on worry frequency in high-trait worriers,"Korotkova, Lana","['Burger, A.M.', 'Verkuil, B.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['TVNS', 'worry']"
"The relation between ADHD, internalizing problems and delinquent behavior in incarcerated male adolescents","Wissen, Nina van","['Bexkens, A.', 'Molen, M.J.W. van der', 'Bruns, S.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['ADHD', 'delinquency', 'depression', 'anxiety']"
De effecten van game ervaring op Sense of Agency en Sensory Recalibration: Een online onderzoek onder universiteitsstudenten,"Mendoza, Dwaynne","['Olfers, K.J.F.', 'Kleijn, R.E. de']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De rol van inlevingsvermogen bij coöperatief leren,"Pater, Mattie de","['Mouw, J.M.', 'Leijenhorst, L. van']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
When a dictator runs a cocktail bar: The effect of asymmetric power dispersion and social motives on group negotiation behavior,"Tol, Jaelah S. van","['Steinel, W.', 'Harinck, S.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"De relatie tussen taalproblemen en sociale stress bij 3,5 - 6,5 jarigen en de rol van autisme","Veenma, Marielle","['Smaling, H.J.A.', 'Rijn, S. van']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Personality and self-threat as predictors of consumer revenge,"Poelmann, Nikkie","['Seip, E.C.', 'Dijk, W. van']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Revenge', 'personality', 'self-threat']"
Effecten van serious games op voedingskeuze bij gezonde studenten; De invloed van zelfcontrole,"Bruijn, Millie de","['Schakel, L.', 'Ham, C.J.M. van der']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Taalvaardigheid in relatie tot gedragsproblemen bij kinderen met autisme,"Leeuwen, S.I. van","['Smaling, H.J.A.', 'Rijn, S. van']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Problemen in het executief functioneren: Valt de appel ver van de boom?,"Smit, Meike","['Smaling, H.J.A.', 'Rijn, S. van']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
The role of gender and empathy on pro-social decision-making in adolescents,"Gallon, Katie","['Schreuders, E.', 'Güroğlu, B.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Pro-social behavior', 'gender', 'adolescence', 'empathy', 'economic-exchange games']"
Cognitive flexibility and learning potential: Cognitive flexibility measures as predictor of dynamic test outcomes and transfer task performance,"Jong, Roos de","['Stad, F.E.', 'Resing, W.C.M.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
De invloed van de anticonceptiepil op premenstruele symptomen,"Martijn, Guusje","['Jans, L.A.W.', 'Tollenaar, M.S.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
"How is ""Effective Multilateralism"" implemented by the European Union in the International Atomic Energy Agency?","Boelema Robertus, Christine","['Willigen, N.J.G. van']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
The irony of decision reversibility: Why reversible decisions lead to higher regret and more self-blame,"Kovacs, Veronika","['Dillen, L.F. van', 'Bullens, L.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Het effect van een ongeremdheids-manipulatie op de effectiviteit van LHBT voorlichting,"Peters, Jill","['Cramwinckel, F.M.', 'Scheepers, D.T.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The effect of the noradrenergic system on backward inhibition using transcutaneous vagus nerve stimulation,"Grigoriadu, Stamatoula","['Colzato, L.', 'Schuitema, I.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Expectations about mobility: A pilot survey among older car drivers,"Meerwijk, Michael van","['Verschuur, W.L.G.', 'Poletiek, F.H.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
(Cyber)pesten en persoonlijkheid: De relatie tussen de persoonlijheidskenmerken van de Dark Tetred en verschillende (cyber)pestrollen,"Snijders, Eva","['Toprak, F.']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
"Learning potential, strategy use, and intelligence in dynamic testing: The difference in learning potential and strategy use between children with high and low CITO scores","Alewijk, Lotte van","['Veerbeek, J.', 'Resing, W.C.M.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Usability of an Internet-based cognitive behavioural therapy for chronic pain and the relationship with eHealth literacy,"Pronk, K.C.","['Vaart, R. van der', 'Skvortsova, A.']",2016,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,"['eCBT', 'usability', 'chronic pain']"
Intercommunal engagement and Hindu-Muslim violence in contemporary India: The 2013 Muzaffarnagar Riots,"Einde, Levijn van 't","['Spirova, M.S.', 'Zwart, F. de']",2016,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Dagelijkse stress bij kinderen met een autisme spectrum stoornis,"Lange, Daphne de","['Smaling, H.J.A.', 'Rijn, S. van']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Serious gaming en gezondheid; De rol van stemming bij het effect van serious games op voedingskeuze,"Elstgeest, Siem","['Schakel, L.', 'Ham, C.J.M. van der']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The implicit importance of morality: Do people show increased vigilance to information related to morality (vs. competence and sociability)?,"Kantor, Eveline","['Nunspeet, F. van', 'Cramwinckel, F.M.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The relationship between Anxiety Sensitivity and the individual DSM-5 symptom clusters of PTSD,"Minnai, Nicki","['Mouthaan, J.', 'Noordenbos, G.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Personalisering op lokaal niveau,"Boven, Maxime","['Holsteijn, J.J.M. van']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Stability of trait mindfulness and symptoms of depression and anxiety,"Schmitz, Katharina","['Haringsma, R.', 'Giezen, A.E. van']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['trait', 'mindfulness', 'predictor depression', 'anxiety']"
The relation between intelligence profile and reported Attention-Deficit/Hyperactivity Disorder symptoms,"Duijvestijn, Leonie","['Habers, G.E.A.', 'Zedlitz, A.M.E.E.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The association between autism spectrum disorders and depression,"Rijn, Annelies van","['Schuitema, I.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Depression', 'ASD', 'Latent profile analysis']"
De kwaliteit van de interactie en exploratie tussen ouder en kind bij het onderzoeken van de Mysterie Box in Science Center NEMO,"Nes, Iris van","['Raijmakers, M.E.J.', 'Stroet, K.F.A.']",2016,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
The traditional forest community case towards recognition of Masyarakat Adat,"Visser, Timothy","['Persoon, G.A.', 'Pels, P.J.']",2016,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,en,,
Sharing behavior in pre-adolescents: The role of emotions,"Plaat, Ilse van der","['Broekhof, E.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"Drama queens don't do it worse: Feedback monitoring, reward sensitivity and the need for drama","Kispál, G.","['Bruijn, E.R.A. de', 'Krause-Utz, A.D.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"Pesten en de Dark Triad: Een onderzoek naar pesters, slachtoffers en hun persoonlijkheid","Schutjes, Eveline","['Goemans, A.', 'Geel, M. van']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
R2P and Syria: An assessment of an emerging moral norm,"Osman, Romana","['Mansvelt Beck, F.F.']",2016,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Social emotions and social competence in young children with autism,"Kool, Lisa","['Li, B.', 'Fincan, S.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
De invloed van de anticonceptiepil op emotieherkenning,"Rijsbergen, Marleen van","['Jans, L.A.W.', 'Tollenaar, M.S.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
A longitudinal experimental study on the training with a violent video game investigating the neural basis of impulsivity using voxel-based morphometry,"Kugler, Dimitrij","['Hommel, B.', 'Kühn, S.']",2016,Faculty of Social & Behavioural Sciences,Psychology (research) (MSc),Research master thesis,en,,"['Impulsivity', 'voxel-based morphometry', 'violent video gaming', 'aggression experimental study']"
Experimenteel onderzoek naar de invloed van saccades op tekstbegrip en leestijd,"Westerveer, Nicky","['Danel, M.S.', 'Koornneef, A.W.']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Sensory sensitivity in adults with attention-deficit/hyperactivity disorder: The role of autism-spectrum symptoms,"Tjon-Ka-Jie, Jessica","['Berg, J.F. van den', 'Giezen, A.E. van', 'Bijlenga, D.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Sensory sensitivity', 'ADHD', 'autism']"
Maladaptieve coping strategieën mediëren de intergenerationele overdracht van mishandeling niet,"Kerkhof, Lisa","['Voorthuis, A.', 'Pittner, K.']",2016,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"The influence of parental sensitivity on costly and non-costly child prosocial behaviour, and possible mediation by theory of mind","Zwet, Sanne van der","['Meulen, M. van der', 'Steinbeis, N.A.J.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Sensitivity', 'prosocial', 'theory of mind']"
The role of social support and loneliness in the relationship between stressful life events and depression,"Nadar, H.J.","['Jans, L.A.W.', 'Hamstra, D.A.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Depressive symptoms severity', 'social support', 'loneliness', 'stressful life events', 'moderating effect']"
"Exploring the affective side of scarcity: The relation between conspicuous consumption, scarcity, and self-threat","Krijger, Joris","['Dijk, W. van', 'Mors, E. ter']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Punishment or compensation: What do victims prefer?,"Kalmouki, Iro","['Dijk, E. van', 'Molenmaker, W.E.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Punishment', 'compensation', 'experimental games']"
Sensitivity to peer feedback in adolescents with autism: How do peers influence prosocial behavior in adolescents with autism?,"Grootenhuijs, Anneloek","['Hoorn, Jorien van']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Samenwerken of samenleven? De invloed van het label ‘depressie’ op het aangaan,"Oorschot, Myrna van","['Molendijk, M.L.', 'Overgauw, S.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The relation between ehealth literacy and health,"Souverein, Erica","['Vaart, R. van der', 'Manaï, M.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,['Ehealth literacy and health']
Het oplossen van contextopgaven: De rol van werkgeheugen en leerjaar,"Heer, Gerda de","['Hickendorff, M.', 'Mouw, J.M.']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Verschillen mensen met anorexia nervosa en boulimia nervosa in alexithymia en bezorgdheid over gewicht,"Wisse, Eline","['Noordenbos, G.', 'Mouthaan, J.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Chaos en opvoeding: Is er een verband tussen de sensorische sensitiviteit en negatieve emoties bij het zorgen voor een babysimulator in een chaotische situatie?,"Kaldenberg, Angela","['Alink, L.R.A.', 'Prevoo, M.J.L.']",2016,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Anxiety and feedback processing in early adolescents,"Velidaki, Eirini","['Zanolie, C.K.K.', 'Meulen, M. van der']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Becoming financially independent: A plan for the future. An online survey regarding financial education in the Netherlands,"Stierman, Nina","['Dijk, W. van', 'Mors, E. ter']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Financial education', 'financial behaviour']"
Reducing modern LGBT prejudice: The implementation of behavioral disinhibition in LGBT classroom interventions,"Barea, Natalie Jessica Cavanna","['Cramwinckel, F.M.', 'Scheepers, D.T.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['LGBT', 'prejudice', 'classroom intervention', 'behavioural disinhibition']"
While the Dutch slept? The Dutch house of representatives' legitimation of the EU's common foreign policy 1975-2008,"Adams, Flip Kylian","['Koole, R.A.', 'Boin, R.A.']",2016,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Effects of dynamic training in analogical reasoning on progression in accuracy and transfer: examining gifted and gifted underachievers,"Belic, Jelisaveta","['Vogelaar, B.', 'Resing, W.C.M.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Dynamic testing', 'giftedness']"
"Health-related quality of life, cognitive functioning and physical functioning prior to intensive care unit admission as predictors of in-hospital mortality of critically ill patients","Richters, Anouk","['Veldhuijzen, D.S.']",2016,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Mental fatigue and the sit-stand workstation: Assessing the influence of an alternating sit-stand workposture on subjective and objective measures of mental fatigue,"Bliek, E.C.","['Steenbergen, H. van', 'Steenbergen, L.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Het effect van risicoperceptie op de evaluatie van compensatie in het kader van een windenergieproject: Compensatie: een eerlijke vergoeding of een louche omkoping?,"Benard, V.H.","['Mors, E. ter', 'Blaker, N.M.']",2016,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
