title,author,supervisors,date,faculty,program,type,language,abstract,keywords
The avoidant personality severity index (AVPDSI),"Miethe, Selma Marie","['Greeven, J.F.', 'Jans, L.A.W.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Het effect van videotraining op de interpretatie van CVM-voortgangsgrafieken door leerkrachten,"Veen, Joy van","['Bosch, R.M. van den', 'Kegel, C.A.T.']",2017,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Can dimensionality reduction through feature extraction improve classification accuracy compared to whole-brain analysis?: Using high-dimensional neuroimaging data as input for a support vector machine to distinguish alzheimer patients from healthy controls,"Broers, Thomas","['Wilderjans, T.F.', 'Rooij, M.J. de', 'Weeda, W.D.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['classification', 'dimension reduction', '(f)MRI data']"
"Iceland and EU membership: So close, yet so far away","Plas, Steven van der","['Veenendaal, W.P.']",2017,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Voting procedures in the United Nations general assembly and institutional change: How consensus became the dominant form of decision-making in the UN's most inclusive organ,"Carlson, Finn","['Blarel, N.R.J.B', 'Jentsch, C.']",2017,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Children's potential to learn: Predicting strategy use through dynamic testing,"Hempel, Femke","['Veerbeek, J.', 'Resing, W.C.M.']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Vrijheid en gezichtsbedekkende kleding: Een analyse van de verschillende vrijheidsopvattingen die een rol hebben gespeeld in het Nederlandse parlementaire debat gezichtsbedekkende kleding,"Zwart, Lotte","['Mansvelt Beck, F.F.']",2017,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Attention devoted to correct versus incorrect choices in a CBM-Maze task: An eye-traching study,"Langa, Athanasia","['Espin, C.A.', 'Guda, M.C.']",2017,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,en,,
The relationship between emotion work and burnout: A study in the Bulgarian hospitality industry,"Maksimova, Joana","['Doef, M.P. van der', 'Verhoeven, C.J.M.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['emotion work', 'burnout', 'hospitality', 'Bulgaria']"
Contradicties in magazines: De invloed van postfeminisme en neoliberalisme,"Smit, Sanne","['Saptari, R.', 'Rana, J.']",2017,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,"['magazines', 'postfeminisme', 'neoliberalisme', 'commercialisering']"
