title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Accepting a wind farm siting: The effect of co-ownership and intrinsic motivation,"Hoogenband, Sophie van den","['Mors, E. ter', 'Wit, A.P.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,['Compensation']
"Een goed begin: De samenhang tussen depressieve klachten bij moeder en fysieke agressie bij kinderen tot 2,5 jaar oud","Kruidenier, Manon","['Suurland, J.', 'Heijden, K.B. van der']",2017,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
De invloed van gevoeligheid voor sociale beloningen bij adolescenten op prosociale keuzes bij vrienden en onbekenden,"Soelen, Demy van","['Groep, S.W. van de', 'Burke, S.M.']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De overeenkomst tussen prosociale neigingen en werkelijk vertoond prosociaal gedrag in de adolescentie,"Aniceta, Malaicha","['Groep, S.W. van de', 'Burke, S.M.']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De relatie tussen de opvoedingsstress van vaders en moeders en het hardhandig disciplineren van kinderen,"Tol, Lotte van","['Groeneveld, M.G.', 'Berkel, S.R. van']",2017,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"Valuing social anxiety disorder: An observational cross-sectional study about willingsness to pay and utility valuations for a mental disorder, social anxiety disorder, compared to physical illness, looking at the difference between psychology and science students","Meulen, F.W. van der","['Edelaar-Peeters, Y.', 'Antypa, N.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
De invloed van democratisering op economische ongelijkheid: Een vergelijkende casestudy naar Chili en Letland,"Vries, Peter de","['Coppenolle, B.K.S. van']",2017,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
The relationship between borderline personality disorder symptoms and pain tolerance in female healthy volunteers,"Strobbe, M.F.","['Bruijn, E.R.A. de', 'Beurs, E. de']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Een relatie tussen gender, het spelen van videogames en de schoolbetrokkenheid van mbo-scholieren","Stauffer, Amy","['Geel, M. van', 'Vedder, P.H.']",2017,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
When I see myself through my peer's eyes: Neural correlates of direct- and reflected self-concept development across adolescence,"Zoetendaal, Kelly","['Cruijsen, L.W.P. van der', 'Peters, S.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Self-concept', 'fMRI', 'Development', 'Adolescence']"
Who earns the most?: A behavioural study to the use of competitive strategies in adolescence,"Baan, Jeroen","['Beijer, M.', 'Crone, E.A.M.']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Is de sociaal-economische status een moderator in de relatie tussen slachtofferschap van pesten en schoolbetrokkenheid van mbo-scholieren,"Top, Esmée","['Vedder, P.H.', 'Geel, M. van']",2017,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"Objectief en subjectief werkgeheugen in samenhang met schizotypische kenmerken, welke type werkgeheugen is de sterkste predictor","Velde, Lisa van der","['Vermeulen, M.C.M.', 'Ziermans, T.B.']",2017,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Functional connectivity of the default mode network and rumination: A study into the role of functional connectivity between the subgenual anterior cingulate and the default mode network in healthy ruminators,"Beekhuizen, Tobias van","['Rover, M. de', 'Putman, P.L.J.']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Verbeteren conflict- en verzoeningsvaardigheden door oefening en coaching en leidt verhoogde vaardigheid tot een betere relatiewaardering?,"Mioch, Koen","['Heus, P. de', 'Weeda, W.D.']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
