title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Interpretation bias as a mediator between social anxiety and post-event processing,"Spieringhs, Fenna","['Miers, A.', 'Bos, E. van den']",2020,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Effecten van partnergeweld op traumasymptomen bij Kan warmte en betrokkenheid door ouders hierin als buffer fungeren? jonge kinderen;,"Penning, L.S.","['Alink, Lenneke', 'Rippe, Ralph']",2020,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
De rol van aandacht in de relatie tussen motivatie en leesbegrip bij universitaire studenten,"Saltbommel, Connie van","['Swart, E.K.', 'Sikkema-de Jong, T.M.']",2020,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"Genderstereotypen ouders, genderstereotiepe huishoudelijke taakverdeling ouders en kinderen en huiselijk geweld","Groote, Mariël de","['Mesman, Judi', 'Groeneveld, Marleen']",2020,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Reinforcement by reward? The Europeanization of Roma educational inclusion in the Western Balkans,"Sneep, Casper","['Tsagkroni, V.', 'Longo, M.B.']",2020,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
"Antiepileptic drugs in glioma patients and the prevalence of depression, anxiety, and subjective cognitive impairment","Meer, Pim van der","['Habers, E.', 'Klaassens, B.']",2020,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"Destructive leadership of work group leaders in online workgroups : The effects of power threat, disrespect, anger, acceptance anxiety and honesty - humility on leaders","Hummel, Mariella","['Boezeman, E.', 'Putten, M. van']",2020,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Blind regression analysis to counter p-hacking in psychology,"Verhees, Veronique","[""Veer, A. van 't"", 'Huisman, S.']",2020,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Tot welke leeftijd is voorlezen leuk? De gedachten van ouders over de leeftijd tot wanneer voorlezen leuk is in relatie tot gezinskenmerken.,"Bras, Nicole","['Mol, Suzanne', 'Sikkema-de Jong, Marga']",2020,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
The role of social preferences in predator-prey contests with a shadow of future,"Bosman, Denise","['Dreu, C.K.W. de', 'Gross, J.']",2020,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
