title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Tonic immobility in patients with social anxiety disorder during stressful social situations,"Neuman, Marije","['Kleine, R.A.', 'Mouthaan, J.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['tonic immobility', 'social anxiety']"
Taal en gender onder de loep: Het effect van genderneutrale terminologie op genderbeleving,"Karremans, Julie","['Verheijen, J.', 'Jansen, J.']",2018,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,
De invloed van inspraak van bewoners op waargenomen procedurele rechtvaardigheid en acceptatie van lokale CCS-projecten,"Renders, Sjoerd","['Mors, E. ter', 'Bullens, L.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Communicating uncertainty when disclosing diagnostic test results for Alzheimer’s disease and dementia: A multiple methods analysis,"Pelt, Sophie","['Schuitema, I.', 'Habers, G.E.A.', 'Visser, L.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Effect van inhibitievaardigheden op taakprestatie van volwassenen en kinderen in een computertaak waarbij cognitieve controle vereist is,"Donk, Sherona van der","['Schel, M.A.', 'Jolles, D.D.']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
How compliments affect helping: The effect of objective and subjective performance feedback on helping,"Ringeling, Jet","['Leeuwen, E. van', 'Harinck, F.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The effect of childhood maltreatment and chronotypes on depressive symptoms,"Wagemakers, Stéphanie G.N.","['Antypa, N.', 'Tollenaar, M.S.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
De rol van verwachtingen en stress in pijnmodulatie,"Waerden, Nina van der","['Veldhuijzen, D.S.', 'Skvortsova, A.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The mediating role of attachment in the intergenerational transmission of maltreatment,"Zwaanswijk, Pascale","['Tollenaar, M.S.', 'Beurs, E. de']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['transmission of maltreatment', 'attachment']"
Encountering a stranger during a forest walk,"Schirmer, Philipp","['Staats, H.J.A.M.', 'Wal, A.J. van der']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"De effectiviteit van de Mini mental state exam, MRI-scans van de entorinale cortex en MRI-scans van hippocampus in het onderscheiden van alzheimerpatiënten","Groot, Feie","['Schouten, T.', 'Ginkel, J. van']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Does a book make a good companion? An investigation of the relationship between narrative fiction and theoru of mind abilities in adolescents.,"Lannin, Georgina","['Mulder, Hannah de']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Hormonal contraceptive use and emotion regulation: The role of age,"Ketteler, J.","['Hamstra, D.A.', 'Does, A.J.W. van der']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"Vulnerability for schizotypal, autism, and ADHD symptoms in children with an additional X Chromosome: Exploring cognitive mechanisms","Lubbe, Anna van der","['Swaab, Hanna', 'Rijn, Sophie van']",2018,Faculty of Social & Behavioural Sciences,Developmental Psychopathology in Education and Child Studies (research) (MSc),Research master thesis,en,,
De Ontwikkeling van proactieve en reactieve controle en de relatie met begrijpend lezen bij leerlingen van het basisonderwijs,"Somai, Santoesha","['Schel, M.A.', 'Jolles, D.D.']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Pupil mimicry and trust: Implication for mood disorders and empathy,"Scholten, Annetje","['Prochazkova, E.', 'Sieh, D.S.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Het onafhankelijkheidsstreven van West-Papoea de bijdrage van de federale invulling van West-Papoea’s constitutionele status,"Beenders, Felix","['Mansvelt Beck, F.F.', 'Kopecky, P.']",2018,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Een eeuw lang een aparte positie voor het bestuursrecht: Hoe het bestuursrecht onaangeraakt bleef door het beginsel van de scheiding der machten,"Vlemmings, Nina","['Koole, R.A.', 'Louwerse, T.P.']",2018,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,nl,,
Het afschrikkingsdebat,"Haagsma, Frans","['Pellikaan, H.', 'Mansvelt Beck, F.']",2018,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Ervaringen en wensen van middelbare scholieren met betrekking tot de betrokkenheid van hun ouders bij hun schoolloopbaan,"Richardson, Leonie","['Denessen, E.', 'Stroet, K.']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
The impact of interest framing on judgments of appropriateness in social dilemmas,"Karagianni, Maria Artemis","['Molenmaker, W.E.', 'Lelieveld, G.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Do gender and socio-economic status moderate the relationship between parental sensitivity and children’s inhibition level?,"Vijverberg, Annabelle","['Meulen, M. van der', 'Bulk, B.G. van den']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The psychometric evaluation of the Dutch version of the Trainee Current Practice Report,"Stuijt, C. van der","['Jong, K. de', 'Sieh, D.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
In hoeverre heeft de interventie ‘ Een goed begin’ invloed op de relatie tussen het zelfvertrouwen van de moeder ten aanzien van de moederrol en de moeder-kind interactie?,"Klomp, Esther","['Huijbregts, Stephan', 'Adrichem, Dide van']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Ready or not: The lack of government and opposition mediation readiness in mediations for the Syrian conflict,"Wierema, Maaike","['Hirschmann, G.', 'Vergerio, C.']",2018,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Het verband tussen tevredenheid met de partnerrelatie en sensitiviteit van ouders met baby’s van 4 maanden,"Deerenberg, Mara","['Mesman, Judi', 'Bruijn, Ymke de']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Borderline features and disordered eating behaviours: Where do maladaptive coping strategies come into play?,"Pranskaityte, Gintare","['Krause-Utz, A.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Het effect van priming op coöperatief gedrag in het volunteer’s dilemma,"Brink, Jade van den","['Kwaadsteniet, E.W. de', 'Molenmaker, W.E.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De rol van empathie binnen intergenerationele overdracht van kindermishandeling,"Meerman, Elodie","['Alink, Lenneke', 'Pittner, Katharina']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"Young, wild and free? Envisioning futures in Shillong","Dols, Andra","['Maaker, E.', 'Saptari, R.']",2018,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
De invloed van tekstopmaak en tekstsoort op leesbegrip in het basisonderwijs,"Breemen, E.A. van","['Koornneef, Arnout', 'Leijenhorst, Linda van']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Social exclusion and sources: A study focused on empathy and rejection sensitivity traits,"Obreen, Elliot F.H.","['Doolaard, F.', 'Noordewier, M.K.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Pre-decisional distortion in (ir)reversible decision-making,"Dongen, B.C.A. van","['Bullens, L.', 'Ruigendijk, H.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"The development of interference in a picture-word task: Interference effects measured in younger children, older children and young adults","Hooijen, Marijke","['Boelens, H.H.', 'Heij, W. la']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['children', 'interference', 'picture-word task', 'inhibition']"
"Landmark, location and path: The effect of executive functioning on spatial navigation ability","Middel, Nienke","['Ham, I. van der', 'Wijn, N. de']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Een Korte Interventie tegen Pesten: Het Effect van Self-Affirmation op Pesten en Slachtofferschap.,"Rozestraten, Anouk","['Geel, Mitch van', 'Goemans, Anouk']",2018,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
The effect of publication bias in meta-regression and Meta-CART,"Smits, David","['Dusseldorp, E.', 'Wilderjans, T.F.', 'Fokkema, M.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['publication bias', 'cart meta-analysis']"
The influence of film techniques on the relationship between visual complexity and neural reliability,"Bijl, Aranka","['Weeda, W.', 'Wilderjans, T.', 'Vetten, A. de']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
The effects of meditation on metacontrol states and moral decision making,"Gartagani, Foteini","['Sellaro, R.', 'Kret, M.E.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Copy paste or tailor-made?: The customization of EU directive across Dutch policy sectors,"Papenborg, Sietse","['Toshkow, D.D.', 'Steunenberg, B.']",2018,Faculty of Social & Behavioural Sciences,Political Science and Public Administration (research) (MSc),Research master thesis,en,,"['Customization', 'Transposition', 'Discretion', 'Cumulative link-mixed models', 'Europeanization']"
Invloed van de gesprekspartner self-disclosure op self-disclosure van sociaal angstige jongeren,"Wout, Lisa van 't","['Bos, E. van den', 'Klapwijk, E.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De mediërende rol van slaapkwaliteit op de relatie tussen chronotype en depressieve klachten bij studenten,"Bik, Suze","['Berg, J. van den']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Het cognitief functioneren van en de invloed van het opleidingsniveau van ouders op kinderen met een extra X-chromosoom,"Dekker, Merel Laurence","['Bouw, Nienke', 'Vermeulen, Marije']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Inhibition of the stress response through loving-kindness meditation over time: An age and gender perspective,"Idil, Ada","['Brosschot, J.F.', 'Middendorp, H. van']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
The effect of social comparison on self-esteem and influences of gender in the context of social evaluations,"Vrolijk, Christina S.","['Will, G.J.', 'Scheepers, D.T.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Needs, personality traits and time pressure – Facets of user experience","Ouwendijk, Bastijn","['Haazebroek, P.', 'Olfers, K.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,['user experiences']
The relation between impulsivity and executive functioning in patients with an eating disorder,"Voogt, M.L.A.","['Dingemans, A.E.', 'Giezen, A.E. van', ""Slof-Op 't Landt, M.C.T.""]",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
