title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Physical Activity and Cognitive Improvement on the Mini-Mental State Examination (MMSE): A meta-analysis,"Gkika, Ioanna","['Schuitema, I.', 'Schaefer, R.S.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Do people want to feel general hope or fear if they believe it justifies their ideologies?,"Rood, Raimo T.","['Pliskin, R.', 'Ruigendijk, H.A.H.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Influences of fear of evaluation on the expectancy bias in high versus low socially anxious individuals,"Meel, Azalea van","['Molen, M.J.W. van der', 'Westhoff, B.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
The relation between parental sensitivity and sensitive discipline on social aggression in children: An experimental study,"Das, Naomi","['Meulen, M. van der', 'Bulk, B.G. van der', 'Wijk, I. van']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"""Neurotisch? Optimistisch? Het zal me jeuken:"" Een onderzoek naar de effecten van neuroticisme en optimisme op de gevoeligheid voor placebo/nocebo bij jeuk","Hoogen, Saskia van","['Meeuwis, S.', 'Peerdeman, K.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
An online self-help program for people living with HIV and depressive symptoms: Effects on physical symptoms and the relation between various HIV medications and depression,"Akkerman, L.V.C.","['Luenen, S. van', 'Krause, A.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The Czech Pirate Party: Is intra-party democracy decreasing following the party’s recent electoral success?,"Michalcak, Jan","['Louwerse, T.', 'Kopecky, P.']",2018,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
The role of experiential avoidance on the onset of borderline traits among adult survivors of childhood abuse,"Miskelovič, A.","['Lee, J.', 'Overgaauw, S.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Het Verband tussen Sensitiviteit en betrokkenheid van opvoeders en prosociaal gedrag van kinderen,"Hagen, Emilie","['Groeneveld, Marleen', 'Mesman, Judi']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Exploring the relationship between compromised bodily states and generalized unsafety,"Troudart, Yael","['Brosschot, F.', 'Verkuil, B.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"The relationship between pain perception and personality, state anxiety and mood","Varsami, Maria","['Skvortsova, A.', 'Veldhuijzen, D.S.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
The antecedents of moral superiority: The influence of competence threat on moral superiority,"Blom, Chantal","['Pliskin, R.', 'Dillen, L. van']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Other-race effect in Taiwanese children with and without a cochlear implant: An eye-tracking study,"Hierden, Shirina van","['Li, B.', 'Tsou, Y.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['other-race effect', 'ORE', 'children', 'cochlear implant', 'eye-tracking']"
"Is het mooi om lid te zijn? Een studie naar eenzaamheid, sociale vergelijking en lidmaatschap van een studentenvereniging","Rietveld, Ruth","['Heus, P. de', 'Bakk, Z.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
“From a Portuguese colony to a “miracle economy””,"Zeeuw, Célestine de","['Zwart, F. de', 'Jentzsch, C.']",2018,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
The effect of MR haplotypes and hormonal status on a neural correlate of arousal,"Eijk, Nikki van","['Hamstra, D.', 'Does, W. van der']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Individual differences during an inhibitory control training for 7- to 9-Year-Old children: A multilevel approach,"Heijningen, Carline J.M.","['Westhoff, B.', 'Duijvenvoorde, A. van', 'Schel, M.']",2018,Faculty of Social & Behavioural Sciences,Psychology (research) (MSc),Research master thesis,en,,
Testing the generalized unsafety theory of stress: Does compromising a body increase intolerance of uncertainty,"Zwiep, J.C.","['Brosschot, J.F.', 'Beugen, S.van']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"Developing Quidditch: On notions of seriousness, play and community","Moor, Kyra","['Westmoreland, M.', 'Jansen, J.']",2018,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,en,,
Underlying mechanisms of facial emotion recognition abilities in children at high risk of developing criminal behaviour: executive functioning and attention,"Veen, Denise van","['Sonneville, Leo de', 'Zonneveld, Lisette van']",2018,Faculty of Social & Behavioural Sciences,Developmental Psychopathology in Education and Child Studies (research) (MSc),Research master thesis,en,,
Cognitieve coping van jongvolwassenen met een chronisch ziek gezinslid,"Jongedijk, Nina","['Sieh, D.', 'Molendijk, M.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Predictive e-recruitment: A simulation study with high dimensional and negatively correlated data to predict candidate update,"Heeren, Lukas","['Rooij, Mark de', 'Fokkema, Marjolein']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Spontaneous helping in female and male (pre-)adolescents with and without autism.,"O'Connor, Rachel","['Rieffe, Carolien', 'Broekhof, Evelien']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Het verband tussen dispositioneel optimisme en de pijntolerantie drempel: Met pijnverwachtingen en pijncatastroferen als mogelijk verklarende mechanismen,"Haan, Ines de","['Peerdeman, K.', 'Meeuwis, S.']",2018,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
