title,author,supervisors,date,faculty,program,type,language,abstract,keywords
"America first, NATO second","Benabbass, Sara","['Dooremalen, T. van', 'Benneker, V.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Effective behavior change technique domains in community health worker-led lifestyle interventions for non-Western immigrants with high risks of cardiometabolic diseases: Systematic review and meta-analysis,"Lee, H.","['Dijk, S. van', 'Verhoeven, C.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The influence of auditory cues and musical sophistication on a finger tapping task,"Vries, Wytske de","['Schaefer, R.S.', 'Middendorp, H. van']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
At risk for risk taking? Risky decision-making and peer influences in mild intellectual disability using a modified Balloon Analogue Risk Task: A study on young adults on probation,"Rosmalen, Odilia F. van","['Habers, G.E.A.', 'Schuitema, I.', 'Kogel, C.H.', 'Platje, E.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The influence of migraine and perceived stigmatization of migraine on work ability: A diary study,"Berg, S.C.D. van den","['Doef, M. van der', 'Hiele, K. van der']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Willingness to donate to non-profit organizations of young individuals: the role of similarity and complementarity, P-O fit and self-categorization, and organizational attractiveness","Bontadini, Federica","['Boezeman, E.J.', 'Steinel, W.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The East African Union: Regional integration in the East African community,"Hemingway, Julius","['Blarel, N.R.J.B', 'Sampson, M.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Imagined moral communities; Negotiating everyday exclusion and diversity in Leiden,"Lambregts, Tommie","['Maaker, Erik de', 'Littlejohn, Andrew']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
Is there a stronger relation between IQ and academic self-concept in boys compared to girls?,"Geest, Marleen van der","['Cruijsen, R. van der', 'Peters, S.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Emotieherkenning en sociale competentie bij Nederlandse en Taiwanese kinderen,"Hoorn, Sophie ten","['Li, B.', 'Groep, S. van de']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Smart-phone mindfulness based worry reduction intervention effects on individuals with Generalized Anxiety Disorder in a high work stress population,"Angela, T.E.M.","['Brosschot, J.F.', 'Veldhuijzen, D.S.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The influence of post-migration stress on mental disorders in refugees: A systematic review and meta-analysis,"Deckers, Carla","['Molendijk, M.L.', 'Blom, J.D.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Beleving en betekenisgeving van burgerschap; Een lieteratuuronderzoek naar drie case studies over belonging en etniciteit,"Caljé, Lotte","['Maaker, Erik de', 'Naafs, Suzanne']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,
Gele kaart of schwalbe? Een analyse naar de door nationale parlementen gehanteerde argumentatie binnen het Early Warning System,"Vlist, J.M.D. van der","['Mickler, T.A.', 'Nagtzaam, M.A.M.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
An investigation into gender equality amongst student grant applicants,"Wijnen, Marjolijn","['Kret, M.', 'Massen, J.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Financial incentives and intrinsic motivation: Is intrinsic motivation expected to be more undermined when offered a reward than a deposit contract financial incentive for health-behavior?,"Maarse, Franciska","['Buisonjé, D. de', 'Gebhardt, W.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Predictors of quality of life one year after transient ischemic attack or minor stroke,"Blom, Emma","['Beugen, S. van', 'Schomaker, J.', 'Kwa, V.I.H.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The influence of antiquisation policy in the national narrative shift: The case of North Macedonia,"Zerzelidis, Nikolaos","['Tsagkroni, V.', 'Mansvelt Beck, F.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Genderverschillen in de relatie tussen stemmingswisselingen en ruminatie,"Bree, Sarah de","['Rover, M. de', 'Verwoerd, J.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Breaking the chains: commemorating the history of slavery in the Netherlands,"Brussee, Eeke","['Naafs, Suznne', 'Samuels, Annemarie']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,en,,
Verbal transmission of threatening information from parents to offspring: The effects on the development of fear beliefs,"Kanaloupiti, F.","['Aktar, E.', 'Giezen, A. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The effectiveness of an emotional working memory training on emotion regulation and heart rate variability in borderline personality disorder,"Samson, J.E.","['Krause-Utz, A.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The cardiovascular and psychological response to implicit and explicit other-affirmation in value conflicts,"Verbeij, Tim","['Harinck, S.', 'Scheepers, D.']",2019,Faculty of Social & Behavioural Sciences,Psychology (research) (MSc),Research master thesis,en,,"['negotiation', 'other-affirmation']"
Woordenschatontwikkeling bij kleuters: De meerwaarde van de Viertakt ten opzichte van levende boeken voor kleuters,"Faber, Julia","['Dijken, M.J. van', 'Espin, C.A.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"Green status or no status? The case of car sharing: A moderation analysis between status, car sharing and car sharing antecedents","Bernard, Vivienne","['Wal, A.J. van der', 'Scheepers, D.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"De relatie tussen slaapproblemen en internaliserende gedragsproblematiek bij kinderen met ADHD, ASS en zonder diagnose","Groot, Saskia de","['Vermeulen, M.C.M.', 'Zantinge, G.M.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Perceived control and avoidance behaviour during financial scarcity: An additional explanation to the poverty trap,"Rouwendal, Petra Mariska van","['Hilbert, L.P.', 'Dijk, W. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Internet knows all: The difference between privacy concerns on a horizontal and a vertical level,"Lammers, Tirza","['Steinel, W.', 'Lelieveld, G.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"Relaties tussen Eerdere Rekenprestaties en Competentiebeleving: Bij basisschoolleerlingen uit verschillende leerjaren, verschillende niveaugroepen en van verschillend geslacht","Linssen, M.M.","['Prast, Emilie', 'Jolles, Dietsje']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Gemeentelijke herindelingen in Nederland: Wat is het effect van gemeentelijke herindelingen op Nederlandse gemeenteraden? Een onderzoek naar politieke fragmentatie in de gemeenteraden en de opkomst van lokale partijen,"Heiden, Michiel van der","['Otjes, S.P.', 'Meijerink, F.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,nl,,
Kinderen met functionele buikpijn: Het langetermijneffect van cognitieve gedragstherapie,"Siefken, Lotte","['Zandvliet, R.', 'Vermeulen, S.M.C.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
De Braziliaanse democratische transitie: Een historisch-institutionele verklaring,"Leichel, Fleur","['Zwart, F. de', 'Oversloot, H.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
"Resisting peers, resisting prosociality? Resistance to peer influence and the behavioral and neural mechanisms of prosocial learning in adolescence","Guijt, Ellina","['Westhoff, B.', 'Tollenaar, M.S.']",2019,Faculty of Social & Behavioural Sciences,Psychology (research) (MSc),Research master thesis,en,,
Meer ruimte voor de rivier: Ook voor de mens? Hoe de overbrugging van de natuur/cultuur-dichotomie van water in hydrosociale relaties zorgt voor beter begrip van waterbeheerconflicten,"Akhamy, Sarah","['Jansen, J.A.M.M.', 'Luning, S.W.J.']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,
The role of salience in tacit coordination: An eye-tracking study,"Zanen, Saskia van","['Kwaadsteniet, E.W. de', 'Molenmaker, W.E.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Het effect van mixed frames op coöperatiegedrag in het chicken dilemma en het prisoner's dilemma,"Demirel, Merve","['Molenmaker, W.E.', 'Doesum, N.J. van']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Strategic behaviour of opposition legislators: A case study on the Dutch national parliament,"Claassen, Chiel Christian","['Mickler, T.A.', 'Koole, R.A.']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Het effect van BMI op fysieke veroudering,"Zweerts, Stella","['Tollenaar, M.S.', 'Kleine, R. de']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De effecten van RSPO-certificering op het levensonderhoud van de onafhankelijke kleine boer in Indonesië,"Wittink, Maaike","['Saptari, Ratna', 'Samuels, Annemarie']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,
Can the albatross around one’s neck be released? The effect of subjective financial stress on cognitive performance and the moderating role of demanding vs. supportive others,"Blom, Anne-fleur","['Ruigendijk, H.', 'Weiden, A. van der']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Hoe kleurovergangen in de tekst beginnende lezers sneller kunnen laten lezen: De invloed van BeeLine Reader op het leesproces van leerlingen uit groep 4 en 5 van het basisonderwijs,"Paassen, M.F.M. van","['Koornneef, A.W.', 'Jolles, D.']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Sociale angstklachten onder Nederlandse studenten: De samenhang met emotionele verwaarlozing en lichamelijke mishandeling,"Thiele, Juliët","['Kleine, R.A. de', 'Krause, A.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Het effect van oplichtende tekst op de aandacht en letterkennis van kleuters,"Ruijgrok, S.A.","['Sikkema-De Jong, T.M.', 'Dijken, M.J. van']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
The role of maximization for choice overload in the high-stake context of online dating,"Galen, Martijn van","['Ruigendijk, H.A.H.', 'Leeuwen, E.A.C. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
